1;16101;3;0;-1;2.148;873;100;2016-04-25;2016-05-23;;Sin Grupo;Alison;GG;400 a 500
1;16101;3;0;-1;2.208;873;100;2016-04-25;2016-05-24;;Sin Grupo;Alison;GG;400 a 500
1;16102;1;0;-1;1.743;873;100;2016-04-28;2016-05-25;;Sin Grupo;Alison;GM;300 a 400
1;16102;5;0;-1;954;873;100;2016-04-28;2016-05-26;;Sin Grupo;Alison;GM;300 a 400
1;16102;5;0;-1;2.490;873;100;2016-04-28;2016-05-27;;Sin Grupo;Alison;GM;300 a 400
1;16102;5;0;-1;1.228;873;100;2016-04-28;2016-05-28;;Sin Grupo;Alison;GM;300 a 400
1;16102;5;0;-1;672;873;100;2016-04-28;2016-05-29;;Sin Grupo;Alison;GM;300 a 400
1;16102;6;0;-1;2.154;873;100;2016-04-28;2016-05-30;;Sin Grupo;Alison;GEG;500 a 600
1;16102;6;0;-1;3.104;873;100;2016-04-28;2016-05-31;;Sin Grupo;Alison;GEG;500 a 600
1;16102;6;0;-1;3.258;873;100;2016-04-28;2016-06-01;;Sin Grupo;Alison;GEG;500 a 600
1;16102;6;0;-1;2.830;873;100;2016-04-28;2016-06-02;;Sin Grupo;Alison;GEG;500 a 600
1;16102;4;0;-1;1.436;873;100;2016-04-28;2016-06-03;;Sin Grupo;Alison;GG;400 a 500
1;16102;4;0;-1;1.856;873;100;2016-04-28;2016-06-04;;Sin Grupo;Alison;GG;400 a 500
1;16102;3;0;-1;1.496;873;100;2016-05-02;2016-06-05;;Sin Grupo;Alison;GG;400 a 500
1;16102;1;0;-1;205;873;100;2016-05-02;2016-06-06;;Sin Grupo;Alison;GM;300 a 400
1;16102;2;0;-1;1.294;873;100;2016-05-02;2016-06-07;;Sin Grupo;Alison;GG;400 a 500
1;16102;2;0;-1;1.119;873;100;2016-05-02;2016-06-08;;Sin Grupo;Alison;GG;400 a 500
1;16102;2;0;-1;1.796;873;100;2016-05-02;2016-06-09;;Sin Grupo;Alison;GG;400 a 500
1;16102;4;0;-1;1.430;873;100;2016-05-02;2016-06-10;;Sin Grupo;Alison;GG;400 a 500
1;16102;4;0;-1;2.118;873;100;2016-05-02;2016-06-11;;Sin Grupo;Alison;GG;400 a 500
1;16102;3;0;-1;1.652;873;100;2016-05-03;2016-06-12;;Sin Grupo;Alison;GG;400 a 500
1;16102;3;0;-1;1.670;873;100;2016-05-03;2016-06-13;;Sin Grupo;Alison;GG;400 a 500
